Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
2 add to chart,Chrome 121.0.0.0,,,07-02-2024 10:38:47,07-02-2024 10:39:00,13.437s,PASSED
,,,,,,,
Test Cases/2 add to chart,Chrome 121.0.0.0,,,07-02-2024 10:38:47,07-02-2024 10:39:00,13.207s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,07-02-2024 10:38:47,07-02-2024 10:38:49,1.963s,PASSED
"navigateToUrl(""https://cms.demo.katalon.com/"")",Chrome 121.0.0.0,,,07-02-2024 10:38:49,07-02-2024 10:38:54,5.337s,PASSED
"click(findTestObject(""Object Repository/Testing Ninja Katalon/a_Add to cart""))",Chrome 121.0.0.0,,,07-02-2024 10:38:54,07-02-2024 10:38:55,0.430s,PASSED
"click(findTestObject(""Object Repository/Testing Ninja Katalon/a_Add to cart_1""))",Chrome 121.0.0.0,,,07-02-2024 10:38:55,07-02-2024 10:38:56,0.919s,PASSED
"click(findTestObject(""Object Repository/Testing Ninja Katalon/a_Add to cart_1_2""))",Chrome 121.0.0.0,,,07-02-2024 10:38:56,07-02-2024 10:38:57,0.898s,PASSED
"click(findTestObject(""Object Repository/Testing Ninja Katalon/a_Cart""))",Chrome 121.0.0.0,,,07-02-2024 10:38:57,07-02-2024 10:39:00,3.233s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,07-02-2024 10:39:00,07-02-2024 10:39:00,0.167s,PASSED
